SP25,SP50,SP100,SP75
1.4940900802612305,1.6083149909973145,1.6244440078735352,1.5360910892486572
1.4443180561065674,1.5358328819274902,1.5427789688110352,1.4181218147277832
1.4132051467895508,1.5221471786499023,1.5566761493682861,1.4522221088409424
1.4413700103759766,1.5334649085998535,1.5326030254364014,1.4542570114135742
1.4483771324157715,1.4960157871246338,1.4952471256256104,1.412302017211914
1.4438629150390625,1.4819200038909912,1.5253610610961914,1.4515790939331055
1.4401171207427979,1.5235238075256348,1.5401580333709717,1.4496238231658936
1.4619901180267334,1.566711187362671,1.551948070526123,1.4808330535888672
1.3954520225524902,1.4822378158569336,1.5254390239715576,1.4049670696258545
1.488948106765747,1.5818569660186768,1.6236729621887207,1.6339788436889648
1.5292048454284668,1.650498867034912,1.6798908710479736,1.609978199005127
1.424349069595337,1.5071589946746826,1.5416290760040283,1.5811898708343506
1.443014144897461,1.5282588005065918,1.524932861328125,1.4440829753875732
1.4735701084136963,1.5284318923950195,1.5369539260864258,1.4392738342285156
1.4686520099639893,1.5635039806365967,1.6397500038146973,1.443727970123291
1.576563835144043,1.5701649188995361,1.5447120666503906,1.5910649299621582
1.4734199047088623,1.5920560359954834,1.5146820545196533,1.554414987564087
1.4708001613616943,1.5847601890563965,1.6880171298980713,1.587615966796875
1.5213370323181152,1.5452511310577393,1.5420079231262207,1.543154001235962
1.466282844543457,1.5515928268432617,1.5271639823913574,1.585510015487671
1.509857177734375,1.5641698837280273,1.4729669094085693,1.473154067993164
1.5443758964538574,1.5404601097106934,1.5446348190307617,1.6645328998565674
1.4618008136749268,1.5066981315612793,1.5186080932617188,1.5947480201721191
1.4735229015350342,1.5458920001983643,1.5432770252227783,1.5996460914611816
1.4343831539154053,1.5092589855194092,1.6271069049835205,1.5924739837646484
1.545882225036621,1.5549581050872803,1.6122801303863525,1.643902063369751
1.548774003982544,1.5851891040802002,1.6073238849639893,1.6732659339904785
1.62652587890625,1.6266400814056396,1.6231379508972168,1.7721071243286133
1.5288920402526855,1.6007800102233887,1.6198639869689941,1.6593658924102783
1.4617741107940674,1.5952930450439453,1.5490119457244873,1.6583738327026367
1.5019490718841553,1.5835089683532715,1.647226095199585,1.5789859294891357
1.6434221267700195,1.5305109024047852,1.585036039352417,1.716789960861206
1.504431962966919,1.5025649070739746,1.578481912612915,1.5826451778411865
1.5032100677490234,1.5464301109313965,1.6506268978118896,1.5798439979553223
1.6037940979003906,1.6568560600280762,1.7202041149139404,1.874964952468872
1.4519100189208984,1.6106531620025635,1.6492300033569336,1.7474160194396973
1.553419828414917,1.6343929767608643,1.7261948585510254,1.5470662117004395
1.5133700370788574,1.6010651588439941,1.5867540836334229,1.787304162979126
1.5706307888031006,1.7054049968719482,1.6459481716156006,1.8457269668579102
1.5373690128326416,1.6015889644622803,1.7287509441375732,1.8347601890563965
1.5264909267425537,1.5521419048309326,1.6576569080352783,1.8567869663238525
1.480647087097168,1.6398999691009521,1.600499153137207,1.744157075881958
1.477910041809082,1.522995948791504,1.9280650615692139,1.9464879035949707
1.5216400623321533,1.7118701934814453,1.6545729637145996,1.7417340278625488
1.4812078475952148,1.606044054031372,1.5587029457092285,1.8994839191436768
1.4425361156463623,1.5548529624938965,1.6026480197906494,1.8529021739959717
1.4414968490600586,1.6423349380493164,1.806800127029419,1.8403332233428955
1.4386098384857178,1.520197868347168,1.565906047821045,1.8381879329681396
1.4024531841278076,1.4476490020751953,1.5202100276947021,1.8393268585205078
1.3978700637817383,1.5232689380645752,1.5283920764923096,1.7537200450897217
